UniProt_Accession,Gene_Name,GO_Identifier,GO_Term,Protein_Name,Synonyms,Confidence_Level,MC_PMID
Q6IE81,JADE1,GO:0043966|GO:0036064|GO:0016607|GO:0043981|GO:0043983|GO:0043982|GO:0005886|GO:0000123|GO:0005654|GO:0090090|GO:0005634|GO:1903508|GO:0005515|GO:0003713|GO:0005737|GO:0030308|GO:0046872|GO:0006915|GO:2000134,histone H3 acetylation|ciliary basal body|nuclear speck|histone H4-K5 acetylation|histone H4-K12 acetylation|histone H4-K8 acetylation|plasma membrane|histone acetyltransferase complex|nucleoplasm|negative regulation of canonical Wnt signaling pathway|nucleus|positive regulation of nucleic acid-templated transcription|protein binding|transcription coactivator activity|cytoplasm|negative regulation of cell growth|metal ion binding|apoptotic process|negative regulation of G1/S transition of mitotic cell cycle,Protein Jade-1,KIAA1807|PHF17,4,
Q9NQS7,INCENP,GO:0016604|GO:0007059|GO:0000777|GO:0000776|GO:1902412|GO:0000775|GO:0005654|GO:0005874|GO:0005623|GO:0000281|GO:0005829|GO:0016572|GO:0010032|GO:0043539|GO:0000801|GO:0000800|GO:0005721|GO:1990385|GO:0051257|GO:0000793|GO:0005634|GO:0051310|GO:0005515|GO:0000070|GO:0005819|GO:0010369|GO:0032991|GO:0032133|GO:0030496|GO:0071902,nuclear body|chromosome segregation|condensed chromosome kinetochore|kinetochore|regulation of mitotic cytokinesis|chromosome  centromeric region|nucleoplasm|microtubule|cell|mitotic cytokinesis|cytosol|histone phosphorylation|meiotic chromosome condensation|protein serine/threonine kinase activator activity|central element|lateral element|pericentric heterochromatin|meiotic spindle midzone|meiotic spindle midzone assembly|condensed chromosome|nucleus|metaphase plate congression|protein binding|mitotic sister chromatid segregation|spindle|chromocenter|protein-containing complex|chromosome passenger complex|midbody|positive regulation of protein serine/threonine kinase activity,Inner centromere protein,,4,
Q9NQS1,AVEN,GO:0005515|GO:0043066|GO:0006915|GO:0016020|GO:0005829|GO:0012505|GO:0010972,protein binding|negative regulation of apoptotic process|apoptotic process|membrane|cytosol|endomembrane system|negative regulation of G2/M transition of mitotic cell cycle,Cell death regulator Aven,,4,
P62324,BTG1,GO:0008285|GO:2000271|GO:0006355|GO:0045930|GO:0045663|GO:0045603|GO:0045766|GO:0005654|GO:0005634|GO:0003712|GO:0005515|GO:0005737|GO:0030308|GO:0016477|GO:0019900|GO:0019899,negative regulation of cell population proliferation|positive regulation of fibroblast apoptotic process|regulation of transcription  DNA-templated|negative regulation of mitotic cell cycle|positive regulation of myoblast differentiation|positive regulation of endothelial cell differentiation|positive regulation of angiogenesis|nucleoplasm|nucleus|transcription coregulator activity|protein binding|cytoplasm|negative regulation of cell growth|cell migration|kinase binding|enzyme binding,Protein BTG1,,4,
Q01130,SRSF2,GO:0005080|GO:0036002|GO:0008380|GO:0016607|GO:0033197|GO:0005681|GO:0006397|GO:0035061|GO:1903507|GO:0000278|GO:0000398|GO:0005654|GO:0006406|GO:0005634|GO:0045292|GO:0003723|GO:0005515|GO:0006405|GO:0003714|GO:0000381|GO:0005737|GO:0005829|GO:0031124,protein kinase C binding|pre-mRNA binding|RNA splicing|nuclear speck|response to vitamin E|spliceosomal complex|mRNA processing|interchromatin granule|negative regulation of nucleic acid-templated transcription|mitotic cell cycle|mRNA splicing  via spliceosome|nucleoplasm|mRNA export from nucleus|nucleus|mRNA cis splicing  via spliceosome|RNA binding|protein binding|RNA export from nucleus|transcription corepressor activity|regulation of alternative mRNA splicing  via spliceosome|cytoplasm|cytosol|mRNA 3'-end processing,Serine/arginine-rich splicing factor 2,SFRS2,4,
Q9H5J8,TAF1D,GO:0045815|GO:0006361|GO:0006362|GO:0034451|GO:0006355|GO:0006363|GO:0005730|GO:0005654|GO:0005668|GO:0003677|GO:0005515|GO:0072686|GO:0005829,positive regulation of gene expression  epigenetic|transcription initiation from RNA polymerase I promoter|transcription elongation from RNA polymerase I promoter|centriolar satellite|regulation of transcription  DNA-templated|termination of RNA polymerase I transcription|nucleolus|nucleoplasm|RNA polymerase transcription factor SL1 complex|DNA binding|protein binding|mitotic spindle|cytosol,TATA box-binding protein-associated factor RNA polymerase I subunit D,JOSD3,4,
O75717,WDHD1,GO:0003677|GO:0006281|GO:0005515|GO:0005737|GO:0006261|GO:0043596|GO:0003682|GO:0031298|GO:0006974|GO:0000278|GO:0005654,DNA binding|DNA repair|protein binding|cytoplasm|DNA-dependent DNA replication|nuclear replication fork|chromatin binding|replication fork protection complex|cellular response to DNA damage stimulus|mitotic cell cycle|nucleoplasm,WD repeat and HMG-box DNA-binding protein 1,AND1,4,
P17612,PRKACA,GO:0003091|GO:0061136|GO:0034199|GO:0016607|GO:0046777|GO:1901621|GO:0005952|GO:0005623|GO:0045171|GO:0034704|GO:0048240|GO:0043393|GO:0071333|GO:0071377|GO:0001669|GO:0071374|GO:0043197|GO:0010737|GO:0005829|GO:0030145|GO:0031594|GO:0001707|GO:0036126|GO:0019901|GO:0019904|GO:0034380|GO:0046827|GO:0004672|GO:0004674|GO:0060314|GO:1903779|GO:0005634|GO:0005515|GO:0031625|GO:0016241|GO:0050804|GO:0018105|GO:0010389|GO:0018107|GO:0035584|GO:0007596|GO:0006468|GO:0044853|GO:0045667|GO:0005930|GO:0002223|GO:0005654|GO:0000287|GO:0005524|GO:0000086|GO:0004679|GO:0004712|GO:0034605|GO:0070062|GO:0001843|GO:0071872|GO:0019221|GO:0097546|GO:0071158|GO:2000810|GO:0086064|GO:0051480|GO:0004691|GO:0006397|GO:0002027|GO:0005813|GO:0048471|GO:0005737|GO:0097711|GO:0005739|GO:0016020|GO:0034237|GO:0010881|GO:0055117|GO:0070613,renal water homeostasis|regulation of proteasomal protein catabolic process|activation of protein kinase A activity|nuclear speck|protein autophosphorylation|negative regulation of smoothened signaling pathway involved in dorsal/ventral neural tube patterning|cAMP-dependent protein kinase complex|cell|intercellular bridge|calcium channel complex|sperm capacitation|regulation of protein binding|cellular response to glucose stimulus|cellular response to glucagon stimulus|acrosomal vesicle|cellular response to parathyroid hormone stimulus|dendritic spine|protein kinase A signaling|cytosol|manganese ion binding|neuromuscular junction|mesoderm formation|sperm flagellum|protein kinase binding|protein domain specific binding|high-density lipoprotein particle assembly|positive regulation of protein export from nucleus|protein kinase activity|protein serine/threonine kinase activity|regulation of ryanodine-sensitive calcium-release channel activity|regulation of cardiac conduction|nucleus|protein binding|ubiquitin protein ligase binding|regulation of macroautophagy|modulation of chemical synaptic transmission|peptidyl-serine phosphorylation|regulation of G2/M transition of mitotic cell cycle|peptidyl-threonine phosphorylation|calcium-mediated signaling using intracellular calcium source|blood coagulation|protein phosphorylation|plasma membrane raft|regulation of osteoblast differentiation|axoneme|stimulatory C-type lectin receptor signaling pathway|nucleoplasm|magnesium ion binding|ATP binding|G2/M transition of mitotic cell cycle|AMP-activated protein kinase activity|protein serine/threonine/tyrosine kinase activity|cellular response to heat|extracellular exosome|neural tube closure|cellular response to epinephrine stimulus|cytokine-mediated signaling pathway|ciliary base|positive regulation of cell cycle arrest|regulation of bicellular tight junction assembly|cell communication by electrical coupling involved in cardiac conduction|regulation of cytosolic calcium ion concentration|cAMP-dependent protein kinase activity|mRNA processing|regulation of heart rate|centrosome|perinuclear region of cytoplasm|cytoplasm|ciliary basal body-plasma membrane docking|mitochondrion|membrane|protein kinase A regulatory subunit binding|regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion|regulation of cardiac muscle contraction|regulation of protein processing,cAMP-dependent protein kinase catalytic subunit alpha,PKACA,4,
Q9UKB1,FBXW11,GO:0061630|GO:0038095|GO:1901223|GO:0045862|GO:0042753|GO:0043687|GO:0002223|GO:0000086|GO:0045892|GO:0045893|GO:0016032|GO:0005829|GO:0016055|GO:0019005|GO:0050852|GO:0051403|GO:0000209|GO:0006470|GO:0038061|GO:0046983|GO:0006511|GO:0031648|GO:0004842|GO:0005634|GO:0005813|GO:0043161|GO:0005515|GO:0000151|GO:0048511|GO:0031146|GO:0070498|GO:0016567,ubiquitin protein ligase activity|Fc-epsilon receptor signaling pathway|negative regulation of NIK/NF-kappaB signaling|positive regulation of proteolysis|positive regulation of circadian rhythm|post-translational protein modification|stimulatory C-type lectin receptor signaling pathway|G2/M transition of mitotic cell cycle|negative regulation of transcription  DNA-templated|positive regulation of transcription  DNA-templated|viral process|cytosol|Wnt signaling pathway|SCF ubiquitin ligase complex|T cell receptor signaling pathway|stress-activated MAPK cascade|protein polyubiquitination|protein dephosphorylation|NIK/NF-kappaB signaling|protein dimerization activity|ubiquitin-dependent protein catabolic process|protein destabilization|ubiquitin-protein transferase activity|nucleus|centrosome|proteasome-mediated ubiquitin-dependent protein catabolic process|protein binding|ubiquitin ligase complex|rhythmic process|SCF-dependent proteasomal ubiquitin-dependent protein catabolic process|interleukin-1-mediated signaling pathway|protein ubiquitination,F-box/WD repeat-containing protein 11,BTRCP2|FBW1B|FBXW1B|KIAA0696,3,
O95819,MAP4K4,GO:0031098|GO:0048812|GO:0004111|GO:0004674|GO:0006468|GO:0023014|GO:0043547|GO:0007346|GO:0008017|GO:0046328|GO:0005524|GO:0005515|GO:0051894|GO:0001953|GO:0005925|GO:0005737|GO:0043066|GO:0032014|GO:0032147|GO:0051549|GO:0120183|GO:0035556|GO:0030335,stress-activated protein kinase signaling cascade|neuron projection morphogenesis|creatine kinase activity|protein serine/threonine kinase activity|protein phosphorylation|signal transduction by protein phosphorylation|positive regulation of GTPase activity|regulation of mitotic cell cycle|microtubule binding|regulation of JNK cascade|ATP binding|protein binding|positive regulation of focal adhesion assembly|negative regulation of cell-matrix adhesion|focal adhesion|cytoplasm|negative regulation of apoptotic process|positive regulation of ARF protein signal transduction|activation of protein kinase activity|positive regulation of keratinocyte migration|positive regulation of focal adhesion disassembly|intracellular signal transduction|positive regulation of cell migration,Mitogen-activated protein kinase kinase kinase kinase 4,HGK|KIAA0687|NIK,4,
Q06323,PSME1,GO:0061133|GO:0061136|GO:1902036|GO:0038095|GO:0043488|GO:0061418|GO:0043687|GO:0006521|GO:0002223|GO:0005654|GO:0000165|GO:0002479|GO:0070062|GO:0005829|GO:0060071|GO:0010972|GO:0050852|GO:0010950|GO:0016579|GO:0055085|GO:1901990|GO:0000209|GO:0090263|GO:0038061|GO:0000502|GO:0008537|GO:0090090|GO:0033209|GO:0043161|GO:0005515|GO:0005737|GO:0031145|GO:0031146|GO:0070498|GO:2000045,endopeptidase activator activity|regulation of proteasomal protein catabolic process|regulation of hematopoietic stem cell differentiation|Fc-epsilon receptor signaling pathway|regulation of mRNA stability|regulation of transcription from RNA polymerase II promoter in response to hypoxia|post-translational protein modification|regulation of cellular amino acid metabolic process|stimulatory C-type lectin receptor signaling pathway|nucleoplasm|MAPK cascade|antigen processing and presentation of exogenous peptide antigen via MHC class I  TAP-dependent|extracellular exosome|cytosol|Wnt signaling pathway  planar cell polarity pathway|negative regulation of G2/M transition of mitotic cell cycle|T cell receptor signaling pathway|positive regulation of endopeptidase activity|protein deubiquitination|transmembrane transport|regulation of mitotic cell cycle phase transition|protein polyubiquitination|positive regulation of canonical Wnt signaling pathway|NIK/NF-kappaB signaling|proteasome complex|proteasome activator complex|negative regulation of canonical Wnt signaling pathway|tumor necrosis factor-mediated signaling pathway|proteasome-mediated ubiquitin-dependent protein catabolic process|protein binding|cytoplasm|anaphase-promoting complex-dependent catabolic process|SCF-dependent proteasomal ubiquitin-dependent protein catabolic process|interleukin-1-mediated signaling pathway|regulation of G1/S transition of mitotic cell cycle,Proteasome activator complex subunit 1,IFI5111,4,
O95834,EML2,GO:0015631|GO:0008022|GO:0000226|GO:0007601|GO:0005102|GO:0005875|GO:0005874|GO:0008017|GO:0007605|GO:0005515|GO:0072686|GO:0005737|GO:0010968|GO:0031115,tubulin binding|protein C-terminus binding|microtubule cytoskeleton organization|visual perception|signaling receptor binding|microtubule associated complex|microtubule|microtubule binding|sensory perception of sound|protein binding|mitotic spindle|cytoplasm|regulation of microtubule nucleation|negative regulation of microtubule polymerization,Echinoderm microtubule-associated protein-like 2,EMAP2|EMAPL2,4,
O43805,SSNA1,GO:0005634|GO:0005813|GO:0042802|GO:0000086|GO:0005515|GO:0042073|GO:0036064|GO:0097711|GO:0005829|GO:0060830|GO:0010389,nucleus|centrosome|identical protein binding|G2/M transition of mitotic cell cycle|protein binding|intraciliary transport|ciliary basal body|ciliary basal body-plasma membrane docking|cytosol|ciliary receptor clustering involved in smoothened signaling pathway|regulation of G2/M transition of mitotic cell cycle,Sjoegren syndrome nuclear autoantigen 1,NA14,4,
Q9P287,BCCIP,GO:0006281|GO:0061101|GO:0015631|GO:0034453|GO:0007052|GO:0019908|GO:0000226|GO:0006974|GO:0000079|GO:0005654|GO:0005623|GO:0005634|GO:0000132|GO:0005813|GO:0003723|GO:0005515|GO:0097431|GO:0005814|GO:0005829|GO:0019207|GO:0090307,DNA repair|neuroendocrine cell differentiation|tubulin binding|microtubule anchoring|mitotic spindle organization|nuclear cyclin-dependent protein kinase holoenzyme complex|microtubule cytoskeleton organization|cellular response to DNA damage stimulus|regulation of cyclin-dependent protein serine/threonine kinase activity|nucleoplasm|cell|nucleus|establishment of mitotic spindle orientation|centrosome|RNA binding|protein binding|mitotic spindle pole|centriole|cytosol|kinase regulator activity|mitotic spindle assembly,BRCA2 and CDKN1A-interacting protein,TOK1,4,
Q9P1W9,PIM2,GO:0016239|GO:0008285|GO:0043123|GO:0046777|GO:0004674|GO:0006468|GO:0009615|GO:0032091|GO:0007346|GO:0005524|GO:0010508|GO:0005515|GO:0008637|GO:0045893|GO:0005737|GO:0043066|GO:0000082|GO:0050821,positive regulation of macroautophagy|negative regulation of cell population proliferation|positive regulation of I-kappaB kinase/NF-kappaB signaling|protein autophosphorylation|protein serine/threonine kinase activity|protein phosphorylation|response to virus|negative regulation of protein binding|regulation of mitotic cell cycle|ATP binding|positive regulation of autophagy|protein binding|apoptotic mitochondrial changes|positive regulation of transcription  DNA-templated|cytoplasm|negative regulation of apoptotic process|G1/S transition of mitotic cell cycle|protein stabilization,Serine/threonine-protein kinase pim-2,,4,
Q9UJX6,ANAPC2,GO:0090129|GO:0070979|GO:1901990|GO:0005680|GO:0045773|GO:0007049|GO:0005654|GO:0006511|GO:0051301|GO:0010629|GO:0005515|GO:0031625|GO:0031915|GO:0031145|GO:0005829|GO:0050775,positive regulation of synapse maturation|protein K11-linked ubiquitination|regulation of mitotic cell cycle phase transition|anaphase-promoting complex|positive regulation of axon extension|cell cycle|nucleoplasm|ubiquitin-dependent protein catabolic process|cell division|negative regulation of gene expression|protein binding|ubiquitin protein ligase binding|positive regulation of synaptic plasticity|anaphase-promoting complex-dependent catabolic process|cytosol|positive regulation of dendrite morphogenesis,Anaphase-promoting complex subunit 2,APC2|KIAA1406,4,
Q9UJX3,ANAPC7,GO:0070979|GO:0019903|GO:1901990|GO:0005680|GO:0045842|GO:0005654|GO:0006511|GO:0051301|GO:0005634|GO:0005737|GO:0031145|GO:0005829|GO:0007091|GO:0016567,protein K11-linked ubiquitination|protein phosphatase binding|regulation of mitotic cell cycle phase transition|anaphase-promoting complex|positive regulation of mitotic metaphase/anaphase transition|nucleoplasm|ubiquitin-dependent protein catabolic process|cell division|nucleus|cytoplasm|anaphase-promoting complex-dependent catabolic process|cytosol|metaphase/anaphase transition of mitotic cell cycle|protein ubiquitination,Anaphase-promoting complex subunit 7,APC7,4,
Q9Y295,DRG1,GO:0042802|GO:0016604|GO:0006351|GO:0007275|GO:1901673|GO:0002181|GO:0008134|GO:0008017|GO:0005844|GO:0005525|GO:0005634|GO:0005515|GO:0030955|GO:0005737|GO:0003924|GO:0016020|GO:0005829|GO:0031116,identical protein binding|nuclear body|transcription  DNA-templated|multicellular organism development|regulation of mitotic spindle assembly|cytoplasmic translation|transcription factor binding|microtubule binding|polysome|GTP binding|nucleus|protein binding|potassium ion binding|cytoplasm|GTPase activity|membrane|cytosol|positive regulation of microtubule polymerization,Developmentally-regulated GTP-binding protein 1,NEDD3,4,
Q16589,CCNG2,GO:0051301|GO:0005634|GO:0016538|GO:0005737|GO:0000307|GO:0044772|GO:0006468|GO:0000079,cell division|nucleus|cyclin-dependent protein serine/threonine kinase regulator activity|cytoplasm|cyclin-dependent protein kinase holoenzyme complex|mitotic cell cycle phase transition|protein phosphorylation|regulation of cyclin-dependent protein serine/threonine kinase activity,Cyclin-G2,,4,
Q9UJT1,TUBD1,GO:0007275|GO:0030030|GO:0005200|GO:0000226|GO:0000278|GO:0005654|GO:0005874|GO:0007017|GO:0005525|GO:0005814|GO:0005737|GO:0003924|GO:0045880|GO:0005929|GO:0005829,multicellular organism development|cell projection organization|structural constituent of cytoskeleton|microtubule cytoskeleton organization|mitotic cell cycle|nucleoplasm|microtubule|microtubule-based process|GTP binding|centriole|cytoplasm|GTPase activity|positive regulation of smoothened signaling pathway|cilium|cytosol,Tubulin delta chain,TUBD,4,
P27816,MAP4,GO:0014069|GO:0015630|GO:0031175|GO:0007052|GO:0005198|GO:0051294|GO:0000226|GO:0043005|GO:0005875|GO:0005886|GO:0005930|GO:0005874|GO:1902856|GO:0008017|GO:0051301|GO:0005623|GO:0003723|GO:0005515|GO:0072686|GO:0051012|GO:0005829|GO:0030424,postsynaptic density|microtubule cytoskeleton|neuron projection development|mitotic spindle organization|structural molecule activity|establishment of spindle orientation|microtubule cytoskeleton organization|neuron projection|microtubule associated complex|plasma membrane|axoneme|microtubule|negative regulation of non-motile cilium assembly|microtubule binding|cell division|cell|RNA binding|protein binding|mitotic spindle|microtubule sliding|cytosol|axon,Microtubule-associated protein 4,,4,
P12004,PCNA,GO:0043626|GO:0016604|GO:0008022|GO:1902990|GO:0006283|GO:0006287|GO:0044877|GO:0032405|GO:0032201|GO:0045739|GO:0035035|GO:0044849|GO:0006296|GO:0000307|GO:1900264|GO:0043596|GO:0000701|GO:0006297|GO:0006298|GO:0000785|GO:0000784|GO:0030855|GO:0005634|GO:0030337|GO:0005515|GO:0032355|GO:0030331|GO:0030894|GO:0030971|GO:0070557|GO:0016567|GO:0033683|GO:0032077|GO:0042276|GO:0045740|GO:0005652|GO:0005654|GO:0000122|GO:0007507|GO:0070182|GO:0097421|GO:0006977|GO:0070062|GO:0000083|GO:0016032|GO:0034644|GO:0031297|GO:0070301|GO:0019985|GO:0070987|GO:1902065|GO:0042769|GO:0042802|GO:0006272|GO:0000723|GO:0046686|GO:0003682|GO:0003684|GO:0005657|GO:0005813|GO:0071466|GO:0032139|GO:0019899|GO:0071548,PCNA complex|nuclear body|protein C-terminus binding|mitotic telomere maintenance via semi-conservative replication|transcription-coupled nucleotide-excision repair|base-excision repair  gap-filling|protein-containing complex binding|MutLalpha complex binding|telomere maintenance via semi-conservative replication|positive regulation of DNA repair|histone acetyltransferase binding|estrous cycle|nucleotide-excision repair  DNA incision  5'-to lesion|cyclin-dependent protein kinase holoenzyme complex|positive regulation of DNA-directed DNA polymerase activity|nuclear replication fork|purine-specific mismatch base pair DNA N-glycosylase activity|nucleotide-excision repair  DNA gap filling|mismatch repair|chromatin|nuclear chromosome  telomeric region|epithelial cell differentiation|nucleus|DNA polymerase processivity factor activity|protein binding|response to estradiol|estrogen receptor binding|replisome|receptor tyrosine kinase binding|PCNA-p21 complex|protein ubiquitination|nucleotide-excision repair  DNA incision|positive regulation of deoxyribonuclease activity|error-prone translesion synthesis|positive regulation of DNA replication|nuclear lamina|nucleoplasm|negative regulation of transcription by RNA polymerase II|heart development|DNA polymerase binding|liver regeneration|DNA damage response  signal transduction by p53 class mediator resulting in cell cycle arrest|extracellular exosome|regulation of transcription involved in G1/S transition of mitotic cell cycle|viral process|cellular response to UV|replication fork processing|cellular response to hydrogen peroxide|translesion synthesis|error-free translesion synthesis|response to L-glutamate|DNA damage response  detection of DNA damage|identical protein binding|leading strand elongation|telomere maintenance|response to cadmium ion|chromatin binding|damaged DNA binding|replication fork|centrosome|cellular response to xenobiotic stimulus|dinucleotide insertion or deletion binding|enzyme binding|response to dexamethasone,Proliferating cell nuclear antigen,,1,10382680|9563836
Q16531,DDB1,GO:0006281|GO:0006283|GO:0006289|GO:0045722|GO:0044877|GO:0035518|GO:0016055|GO:0097602|GO:0010498|GO:0070914|GO:0006295|GO:1901990|GO:0006296|GO:0006293|GO:0006294|GO:0045732|GO:0006974|GO:0000784|GO:0005634|GO:0043161|GO:0005515|GO:0031464|GO:0031465|GO:0032991|GO:0070911|GO:0016567|GO:0000717|GO:0033683|GO:0031461|GO:0000715|GO:0042752|GO:0043687|GO:0005654|GO:0070062|GO:0016032|GO:0045070|GO:0051702|GO:0042769|GO:1902188|GO:0046726|GO:0003684|GO:0080008|GO:0006511|GO:0003677|GO:0005615|GO:0048511|GO:0005737|GO:0043066|GO:0030674|GO:0071987,DNA repair|transcription-coupled nucleotide-excision repair|nucleotide-excision repair|positive regulation of gluconeogenesis|protein-containing complex binding|histone H2A monoubiquitination|Wnt signaling pathway|cullin family protein binding|proteasomal protein catabolic process|UV-damage excision repair|nucleotide-excision repair  DNA incision  3'-to lesion|regulation of mitotic cell cycle phase transition|nucleotide-excision repair  DNA incision  5'-to lesion|nucleotide-excision repair  preincision complex stabilization|nucleotide-excision repair  preincision complex assembly|positive regulation of protein catabolic process|cellular response to DNA damage stimulus|nuclear chromosome  telomeric region|nucleus|proteasome-mediated ubiquitin-dependent protein catabolic process|protein binding|Cul4A-RING E3 ubiquitin ligase complex|Cul4B-RING E3 ubiquitin ligase complex|protein-containing complex|global genome nucleotide-excision repair|protein ubiquitination|nucleotide-excision repair  DNA duplex unwinding|nucleotide-excision repair  DNA incision|cullin-RING ubiquitin ligase complex|nucleotide-excision repair  DNA damage recognition|regulation of circadian rhythm|post-translational protein modification|nucleoplasm|extracellular exosome|viral process|positive regulation of viral genome replication|interaction with symbiont|DNA damage response  detection of DNA damage|positive regulation of viral release from host cell|positive regulation by virus of viral protein levels in host cell|damaged DNA binding|Cul4-RING E3 ubiquitin ligase complex|ubiquitin-dependent protein catabolic process|DNA binding|extracellular space|rhythmic process|cytoplasm|negative regulation of apoptotic process|protein-macromolecule adaptor activity|WD40-repeat domain binding,DNA damage-binding protein 1,XAP1,4,
O43542,XRCC3,GO:0090656|GO:0006281|GO:0090657|GO:0033065|GO:0036297|GO:0045003|GO:0008821|GO:0005654|GO:0005524|GO:0005829|GO:0090737|GO:0008094|GO:0010033|GO:0090267|GO:0000724|GO:0006310|GO:0000722|GO:0006974|GO:0000400|GO:0000784|GO:0005657|GO:0005634|GO:0005515|GO:0048471|GO:0071140|GO:0010824|GO:0005737|GO:0005739,t-circle formation|DNA repair|telomeric loop disassembly|Rad51C-XRCC3 complex|interstrand cross-link repair|double-strand break repair via synthesis-dependent strand annealing|crossover junction endodeoxyribonuclease activity|nucleoplasm|ATP binding|cytosol|telomere maintenance via telomere trimming|DNA-dependent ATPase activity|response to organic substance|positive regulation of mitotic cell cycle spindle assembly checkpoint|double-strand break repair via homologous recombination|DNA recombination|telomere maintenance via recombination|cellular response to DNA damage stimulus|four-way junction DNA binding|nuclear chromosome  telomeric region|replication fork|nucleus|protein binding|perinuclear region of cytoplasm|resolution of mitotic recombination intermediates|regulation of centrosome duplication|cytoplasm|mitochondrion,DNA repair protein XRCC3,,1,26383967
O43543,XRCC2,GO:0033063|GO:0035264|GO:0006281|GO:0008094|GO:0010165|GO:0007098|GO:0000724|GO:0042148|GO:0000400|GO:0000278|GO:0005654|GO:0043524|GO:0005657|GO:0005524|GO:0005813|GO:0051321|GO:0005515|GO:0001701|GO:0001756|GO:0005737|GO:0043231|GO:0050769|GO:0010332|GO:2000269,Rad51B-Rad51C-Rad51D-XRCC2 complex|multicellular organism growth|DNA repair|DNA-dependent ATPase activity|response to X-ray|centrosome cycle|double-strand break repair via homologous recombination|strand invasion|four-way junction DNA binding|mitotic cell cycle|nucleoplasm|negative regulation of neuron apoptotic process|replication fork|ATP binding|centrosome|meiotic cell cycle|protein binding|in utero embryonic development|somitogenesis|cytoplasm|intracellular membrane-bounded organelle|positive regulation of neurogenesis|response to gamma radiation|regulation of fibroblast apoptotic process,DNA repair protein XRCC2,,1,21276791
P42773,CDKN2C,GO:0007050|GO:0019901|GO:0048709|GO:0008285|GO:0004861|GO:0045736|GO:0000079|GO:0042326|GO:0005634|GO:0005515|GO:0005737|GO:0030308|GO:0000082|GO:0005829|GO:2000134,cell cycle arrest|protein kinase binding|oligodendrocyte differentiation|negative regulation of cell population proliferation|cyclin-dependent protein serine/threonine kinase inhibitor activity|negative regulation of cyclin-dependent protein serine/threonine kinase activity|regulation of cyclin-dependent protein serine/threonine kinase activity|negative regulation of phosphorylation|nucleus|protein binding|cytoplasm|negative regulation of cell growth|G1/S transition of mitotic cell cycle|cytosol|negative regulation of G1/S transition of mitotic cell cycle,Cyclin-dependent kinase 4 inhibitor C,CDKN6,3,
P42772,CDKN2B,GO:0007050|GO:0019901|GO:0007093|GO:0031670|GO:0008285|GO:0090398|GO:0048536|GO:0004861|GO:0045944|GO:0045736|GO:0000079|GO:0042326|GO:0005634|GO:0030219|GO:0031668|GO:0000086|GO:0005515|GO:0005737|GO:0050680|GO:0005829|GO:2000134|GO:0030511,cell cycle arrest|protein kinase binding|mitotic cell cycle checkpoint|cellular response to nutrient|negative regulation of cell population proliferation|cellular senescence|spleen development|cyclin-dependent protein serine/threonine kinase inhibitor activity|positive regulation of transcription by RNA polymerase II|negative regulation of cyclin-dependent protein serine/threonine kinase activity|regulation of cyclin-dependent protein serine/threonine kinase activity|negative regulation of phosphorylation|nucleus|megakaryocyte differentiation|cellular response to extracellular stimulus|G2/M transition of mitotic cell cycle|protein binding|cytoplasm|negative regulation of epithelial cell proliferation|cytosol|negative regulation of G1/S transition of mitotic cell cycle|positive regulation of transforming growth factor beta receptor signaling pathway,Cyclin-dependent kinase 4 inhibitor B,MTS2,3,
P42771,CDKN2A,GO:0007050|GO:0034393|GO:0090399|GO:0008285|GO:0090398|GO:0004861|GO:0003723|GO:0045892|GO:0030308|GO:0000082|GO:2000774|GO:0005829|GO:2000134|GO:2000111|GO:0019901|GO:0032088|GO:0007265|GO:0045736|GO:0042326|GO:0051059|GO:0005634|GO:0005515|GO:0001953|GO:0005737|GO:0035985|GO:0035986,cell cycle arrest|positive regulation of smooth muscle cell apoptotic process|replicative senescence|negative regulation of cell population proliferation|cellular senescence|cyclin-dependent protein serine/threonine kinase inhibitor activity|RNA binding|negative regulation of transcription  DNA-templated|negative regulation of cell growth|G1/S transition of mitotic cell cycle|positive regulation of cellular senescence|cytosol|negative regulation of G1/S transition of mitotic cell cycle|positive regulation of macrophage apoptotic process|protein kinase binding|negative regulation of NF-kappaB transcription factor activity|Ras protein signal transduction|negative regulation of cyclin-dependent protein serine/threonine kinase activity|negative regulation of phosphorylation|NF-kappaB binding|nucleus|protein binding|negative regulation of cell-matrix adhesion|cytoplasm|senescence-associated heterochromatin focus|senescence-associated heterochromatin focus assembly,Cyclin-dependent kinase inhibitor 2A,CDKN2|MTS1,3,
